Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Gears,City_Hwy_Consumption_Ratio,Engine_Size_per_Cylinder,CO2_per_L100km,Vehicle_Size_Group,Fuel_Type_Label
FORD,MUSTANG,SUBCOMPACT,3.7,6,M,X,13.5,8.3,11.2,25,258,6,1.627,0.617,23.04,Compact/Small,Regular Gasoline
FORD,MUSTANG,SUBCOMPACT,5.0,8,AS,X,14.9,9.5,12.4,23,285,6,1.568,0.625,22.98,Compact/Small,Regular Gasoline
FORD,MUSTANG,SUBCOMPACT,5.0,8,M,X,15.2,9.3,12.5,23,288,6,1.634,0.625,23.04,Compact/Small,Regular Gasoline
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS,X,11.6,7.9,9.9,29,228,6,1.468,0.575,23.03,Compact/Small,Regular Gasoline
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8,AS,X,15.4,10.0,13.0,22,299,6,1.54,0.625,23.0,Compact/Small,Regular Gasoline
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS,X,16.6,12.5,14.7,19,338,6,1.328,0.583,22.99,Truck/Van,Regular Gasoline
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS,X,16.6,12.6,14.8,19,340,6,1.317,0.617,22.97,Truck/Van,Regular Gasoline
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS,E,22.1,16.7,19.7,14,315,6,1.323,0.617,15.99,Truck/Van,Ethanol (E85)
FORD,TAURUS,FULL-SIZE,2.0,4,AS,X,10.5,7.4,9.1,31,209,6,1.419,0.5,22.97,Mid-size,Regular Gasoline
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS,X,13.9,9.5,11.9,24,274,6,1.463,0.583,23.03,Mid-size,Regular Gasoline
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS,X,12.2,8.2,10.4,27,239,6,1.488,0.583,22.98,Mid-size,Regular Gasoline
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS,E,17.4,11.3,14.7,19,235,6,1.54,0.583,15.99,Mid-size,Ethanol (E85)
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS,X,13.0,9.1,11.3,25,260,6,1.429,0.583,23.01,Mid-size,Regular Gasoline
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS,E,18.8,12.6,16.0,18,256,6,1.492,0.583,16.0,Mid-size,Ethanol (E85)
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,1.6,4,AS,X,10.6,7.9,9.4,30,216,6,1.342,0.4,22.98,Other,Regular Gasoline
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,11.3,8.2,9.9,29,228,6,1.378,0.625,23.03,Other,Regular Gasoline
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,11.7,8.4,10.2,28,235,6,1.393,0.625,23.04,Other,Regular Gasoline
FORD,TRANSIT CONNECT WAGON TAXI,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,12.0,8.5,10.4,27,239,6,1.412,0.625,22.98,Other,Regular Gasoline
GMC,ACADIA,SUV - STANDARD,3.6,6,A,X,14.2,9.9,12.3,23,283,6,1.434,0.6,23.01,SUV,Regular Gasoline
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,22,290,6,1.431,0.6,23.02,SUV,Regular Gasoline
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,A,X,11.9,8.8,10.5,27,242,6,1.352,0.625,23.05,Truck/Van,Regular Gasoline
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,M,X,12.2,9.1,10.8,26,248,6,1.341,0.625,22.96,Truck/Van,Regular Gasoline
GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6,A,X,13.0,9.2,11.3,25,260,6,1.413,0.6,23.01,Truck/Van,Regular Gasoline
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A,X,12.7,9.5,11.3,25,260,6,1.337,0.625,23.01,Truck/Van,Regular Gasoline
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,3.6,6,A,X,13.5,9.8,11.8,24,271,6,1.378,0.6,22.97,Truck/Van,Regular Gasoline
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A,X,21.0,14.2,18.0,16,414,6,1.479,0.6,23.0,Truck/Van,Regular Gasoline
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A,X,22.0,14.9,18.8,15,432,6,1.477,0.75,22.98,Truck/Van,Regular Gasoline
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A,X,22.0,14.9,18.8,15,432,6,1.477,0.75,22.98,Truck/Van,Regular Gasoline
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A,E,30.3,20.5,25.9,11,414,6,1.478,0.75,15.98,Truck/Van,Ethanol (E85)
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A,X,21.3,14.3,18.1,16,416,6,1.49,0.6,22.98,Truck/Van,Regular Gasoline
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A,X,22.2,15.1,19.0,15,437,6,1.47,0.75,23.0,Truck/Van,Regular Gasoline
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A,X,22.2,15.1,19.0,15,437,6,1.47,0.75,23.0,Truck/Van,Regular Gasoline
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A,E,30.6,20.6,26.1,11,418,6,1.485,0.75,16.02,Truck/Van,Ethanol (E85)
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A,X,13.4,9.9,11.9,24,274,6,1.354,0.717,23.03,Truck/Van,Regular Gasoline
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A,E,19.3,14.3,17.1,17,274,6,1.35,0.717,16.02,Truck/Van,Ethanol (E85)
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.9,13.8,17.2,16,275,6,1.442,0.662,15.99,Truck/Van,Ethanol (E85)
GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.1,11.4,14.0,20,322,8,1.412,0.775,23.0,Truck/Van,Premium Gasoline
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.1,10.6,12.5,23,288,6,1.33,0.717,23.04,Truck/Van,Regular Gasoline
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,E,20.3,15.2,18.0,16,288,6,1.336,0.717,16.0,Truck/Van,Ethanol (E85)
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.9,10.7,13.0,22,299,6,1.393,0.662,23.0,Truck/Van,Regular Gasoline
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,E,20.2,14.3,17.5,16,280,6,1.413,0.662,16.0,Truck/Van,Ethanol (E85)
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.3,11.6,14.2,20,327,8,1.405,0.775,23.03,Truck/Van,Premium Gasoline
GMC,TERRAIN FFV,SUV - SMALL,2.4,4,A,X,10.5,7.3,9.1,31,209,6,1.438,0.6,22.97,SUV,Regular Gasoline
GMC,TERRAIN FFV,SUV - SMALL,2.4,4,A,E,15.6,10.8,13.4,21,214,6,1.444,0.6,15.97,SUV,Ethanol (E85)
GMC,TERRAIN,SUV - SMALL,3.6,6,A,X,14.2,9.5,12.1,23,278,6,1.495,0.6,22.98,SUV,Regular Gasoline
GMC,YUKON,SUV - STANDARD,5.3,8,A,X,14.9,10.1,12.7,22,292,6,1.475,0.662,22.99,SUV,Regular Gasoline
GMC,YUKON,SUV - STANDARD,5.3,8,A,E,20.2,13.6,17.2,16,275,6,1.485,0.662,15.99,SUV,Ethanol (E85)
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A,X,15.1,10.4,13.0,22,299,6,1.452,0.662,23.0,SUV,Regular Gasoline
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A,E,20.5,14.0,17.6,16,282,6,1.464,0.662,16.02,SUV,Ethanol (E85)
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A,Z,16.2,11.4,14.0,20,322,6,1.421,0.775,23.0,SUV,Premium Gasoline
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A,Z,15.9,11.1,13.8,20,317,8,1.432,0.775,22.97,SUV,Premium Gasoline
GMC,YUKON XL,SUV - STANDARD,5.3,8,A,X,14.9,10.1,12.7,22,292,6,1.475,0.662,22.99,SUV,Regular Gasoline
GMC,YUKON XL,SUV - STANDARD,5.3,8,A,E,20.2,13.6,17.2,16,275,6,1.485,0.662,15.99,SUV,Ethanol (E85)
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A,X,15.4,10.8,13.3,21,306,6,1.426,0.662,23.01,SUV,Regular Gasoline
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A,E,22.1,15.4,19.1,15,306,6,1.435,0.662,16.02,SUV,Ethanol (E85)
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A,Z,16.8,11.7,14.5,19,334,6,1.436,0.775,23.03,SUV,Premium Gasoline
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A,Z,16.4,11.7,14.3,20,329,8,1.402,0.775,23.01,SUV,Premium Gasoline
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,8.8,6.5,7.8,36,179,,1.354,0.6,22.95,Mid-size,Regular Gasoline
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,9.0,6.7,8.0,35,184,7,1.343,0.6,23.0,Mid-size,Regular Gasoline
HONDA,ACCORD,MID-SIZE,3.5,6,AS,X,11.4,7.3,9.5,30,219,6,1.562,0.583,23.05,Mid-size,Regular Gasoline
HONDA,ACCORD HYBRID,MID-SIZE,2.0,4,AV,X,4.7,5.3,5.0,56,115,,0.887,0.5,23.0,Mid-size,Regular Gasoline
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.1,7.1,40,163,,1.295,0.45,22.96,Compact/Small,Regular Gasoline
HONDA,CIVIC,COMPACT,1.8,4,M,X,8.6,6.6,7.7,37,177,5,1.303,0.45,22.99,Compact/Small,Regular Gasoline
HONDA,CIVIC Si,COMPACT,2.4,4,M,Z,10.8,7.6,9.4,30,216,6,1.421,0.6,22.98,Compact/Small,Premium Gasoline
HONDA,CIVIC HYBRID,COMPACT,1.5,4,AV,X,5.3,5.0,5.2,54,120,,1.06,0.375,23.08,Compact/Small,Regular Gasoline
HONDA,CR-V,SUV - SMALL,2.4,4,AV,X,8.6,6.9,7.8,36,179,,1.246,0.6,22.95,SUV,Regular Gasoline
HONDA,CR-V AWD,SUV - SMALL,2.4,4,AV,X,9.1,7.2,8.3,34,191,,1.264,0.6,23.01,SUV,Regular Gasoline
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.7,6.4,44,147,,1.228,0.375,22.97,Mid-size,Regular Gasoline
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.3,6.1,6.8,42,156,7,1.197,0.375,22.94,Mid-size,Regular Gasoline
HONDA,FIT,STATION WAGON - SMALL,1.5,4,M,X,8.1,6.4,7.3,39,168,6,1.266,0.375,23.01,Mid-size,Regular Gasoline
HONDA,PILOT,SUV - SMALL,3.5,6,A,X,13.3,9.3,11.5,25,264,5,1.43,0.583,22.96,SUV,Regular Gasoline
HONDA,PILOT 4WD,SUV - SMALL,3.5,6,A,X,13.8,9.7,12.0,24,276,5,1.423,0.583,23.0,SUV,Regular Gasoline
HYUNDAI,ACCENT,COMPACT,1.6,4,AS,X,8.9,6.3,7.7,37,177,6,1.413,0.4,22.99,Compact/Small,Regular Gasoline
HYUNDAI,ACCENT,COMPACT,1.6,4,M,X,8.7,6.3,7.6,37,175,6,1.381,0.4,23.03,Compact/Small,Regular Gasoline
HYUNDAI,ELANTRA,MID-SIZE,1.8,4,AS,X,8.5,6.3,7.5,38,172,6,1.349,0.45,22.93,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA,MID-SIZE,1.8,4,M,X,8.8,6.4,7.7,37,177,6,1.375,0.45,22.99,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA,MID-SIZE,2.0,4,AS,X,9.7,6.7,8.3,34,191,6,1.448,0.5,23.01,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA,MID-SIZE,2.0,4,M,X,9.8,7.0,8.5,33,196,6,1.4,0.5,23.06,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA COUPE,MID-SIZE,2.0,4,AS,X,9.6,6.8,8.3,34,191,6,1.412,0.5,23.01,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA COUPE,MID-SIZE,2.0,4,M,X,9.7,6.7,8.3,34,191,6,1.448,0.5,23.01,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,AS,X,9.7,7.2,8.6,33,198,6,1.347,0.5,23.02,Mid-size,Regular Gasoline
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,M,X,9.8,6.9,8.5,33,196,6,1.42,0.5,23.06,Mid-size,Regular Gasoline
HYUNDAI,EQUUS,FULL-SIZE,5.0,8,AS,Z,15.8,10.2,13.3,21,306,8,1.549,0.625,23.01,Mid-size,Premium Gasoline
HYUNDAI,GENESIS AWD,FULL-SIZE,3.8,6,AS,X,14.4,9.4,12.1,23,278,8,1.532,0.633,22.98,Mid-size,Regular Gasoline
HYUNDAI,GENESIS AWD,FULL-SIZE,5.0,8,AS,Z,17.3,10.5,14.2,20,327,8,1.648,0.625,23.03,Mid-size,Premium Gasoline
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,AS,Z,14.6,9.6,12.3,23,283,8,1.521,0.633,23.01,Compact/Small,Premium Gasoline
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,M,Z,14.4,9.9,12.4,23,285,6,1.455,0.633,22.98,Compact/Small,Premium Gasoline
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,AS,X,12.9,9.4,11.3,25,260,6,1.372,0.55,23.01,SUV,Regular Gasoline
HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6,AS,X,13.0,9.7,11.5,25,264,6,1.34,0.55,22.96,SUV,Regular Gasoline
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,AS,X,11.7,8.7,10.3,27,237,6,1.345,0.6,23.01,SUV,Regular Gasoline
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.0,4,AS,X,12.9,9.8,11.5,25,264,6,1.316,0.5,22.96,SUV,Regular Gasoline
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.4,4,AS,X,12.5,9.3,11.1,25,255,6,1.344,0.6,22.97,SUV,Regular Gasoline
HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS,X,13.9,10.8,12.5,23,287,6,1.287,0.55,22.96,SUV,Regular Gasoline
HYUNDAI,SONATA,FULL-SIZE,2.0,4,AS,X,10.4,7.4,9.1,31,209,6,1.405,0.5,22.97,Mid-size,Regular Gasoline
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS,X,9.8,6.7,8.4,34,193,6,1.463,0.6,22.98,Mid-size,Regular Gasoline
HYUNDAI,SONATA SPORT/LIMITED,FULL-SIZE,2.4,4,AS,X,9.8,6.7,8.4,34,193,6,1.463,0.6,22.98,Mid-size,Regular Gasoline
HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS,X,6.6,5.9,6.3,45,145,6,1.119,0.6,23.02,Mid-size,Regular Gasoline
HYUNDAI,TUCSON,SUV - SMALL,2.0,4,AS,X,10.2,8.2,9.3,30,214,6,1.244,0.5,23.01,SUV,Regular Gasoline
HYUNDAI,TUCSON,SUV - SMALL,2.0,4,M,X,11.4,8.5,10.1,28,232,6,1.341,0.5,22.97,SUV,Regular Gasoline
HYUNDAI,TUCSON,SUV - SMALL,2.4,4,AS,X,11.3,8.3,10.0,28,230,6,1.361,0.6,23.0,SUV,Regular Gasoline
HYUNDAI,TUCSON AWD,SUV - SMALL,2.0,4,AS,X,11.4,9.3,10.4,27,239,6,1.226,0.5,22.98,SUV,Regular Gasoline
HYUNDAI,TUCSON AWD,SUV - SMALL,2.4,4,AS,X,11.6,9.3,10.6,27,244,6,1.247,0.6,23.02,SUV,Regular Gasoline
HYUNDAI,VELOSTER,COMPACT,1.6,4,M,X,9.0,6.7,8.0,35,184,6,1.343,0.4,23.0,Compact/Small,Regular Gasoline
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,AS,X,9.9,7.6,8.8,32,202,6,1.303,0.4,22.95,Compact/Small,Regular Gasoline
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M,X,9.7,7.0,8.5,33,196,6,1.386,0.4,23.06,Compact/Small,Regular Gasoline
INFINITI,Q50,MID-SIZE,3.7,6,AS,Z,12.0,8.1,10.3,27,237,7,1.481,0.617,23.01,Mid-size,Premium Gasoline
INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS,Z,12.5,8.7,10.8,26,248,7,1.437,0.617,22.96,Mid-size,Premium Gasoline
INFINITI,Q60,SUBCOMPACT,3.7,6,AS,Z,12.4,8.7,10.7,26,246,7,1.425,0.617,22.99,Compact/Small,Premium Gasoline
INFINITI,Q60,SUBCOMPACT,3.7,6,M,Z,13.6,9.3,11.6,24,267,6,1.462,0.617,23.02,Compact/Small,Premium Gasoline
INFINITI,Q60 AWD,SUBCOMPACT,3.7,6,AS,Z,13.3,9.4,11.5,25,264,7,1.415,0.617,22.96,Compact/Small,Premium Gasoline
INFINITI,Q70,MID-SIZE,5.6,8,AS,Z,14.8,9.5,12.4,23,285,7,1.558,0.7,22.98,Mid-size,Premium Gasoline
INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS,Z,15.0,10.2,12.9,22,297,7,1.471,0.7,23.02,Mid-size,Premium Gasoline
INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS,Z,8.0,6.9,7.5,38,172,7,1.159,0.583,22.93,Mid-size,Premium Gasoline
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS,Z,13.7,9.7,11.9,24,274,7,1.412,0.617,23.03,Mid-size,Premium Gasoline
INFINITI,QX60,SUV - SMALL,3.5,6,AV,Z,11.4,8.5,10.1,28,232,7,1.341,0.583,22.97,SUV,Premium Gasoline
INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV,Z,12.2,8.9,10.7,26,246,7,1.371,0.583,22.99,SUV,Premium Gasoline
INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV,X,8.9,8.4,8.7,32,200,7,1.06,0.625,22.99,SUV,Regular Gasoline
INFINITI,QX70 AWD,SUV - SMALL,3.7,6,AS,Z,14.6,10.7,12.8,22,294,7,1.364,0.617,22.97,SUV,Premium Gasoline
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS,Z,16.9,11.9,14.7,19,338,7,1.42,0.7,22.99,SUV,Premium Gasoline
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6,AS,Z,11.8,8.4,10.3,27,237,8,1.405,0.5,23.01,Compact/Small,Premium Gasoline
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6,AS,Z,12.2,8.7,10.6,27,244,8,1.402,0.5,23.02,Compact/Small,Premium Gasoline
JAGUAR,F-TYPE V8 R COUPE,TWO-SEATER,5.0,8,AS,Z,15.0,10.2,12.8,22,294,8,1.471,0.625,22.97,Compact/Small,Premium Gasoline
JAGUAR,XF AWD,MID-SIZE,3.0,6,AS,Z,13.9,8.8,11.6,24,267,8,1.58,0.5,23.02,Mid-size,Premium Gasoline
JAGUAR,XFR,MID-SIZE,5.0,8,AS,Z,15.7,10.3,13.2,21,304,8,1.524,0.625,23.03,Mid-size,Premium Gasoline
JAGUAR,XFR-S,MID-SIZE,5.0,8,AS,Z,15.7,10.3,13.2,21,304,8,1.524,0.625,23.03,Mid-size,Premium Gasoline
JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3.0,6,AS,Z,14.7,9.6,12.5,23,288,8,1.531,0.5,23.04,Mid-size,Premium Gasoline
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS,Z,15.9,10.9,13.6,21,313,6,1.459,0.625,23.01,Compact/Small,Premium Gasoline
JAGUAR,XKR COUPE,MINICOMPACT,5.0,8,AS,Z,15.6,10.9,13.4,21,308,6,1.431,0.625,22.99,Compact/Small,Premium Gasoline
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5.0,8,AS,Z,15.9,10.9,13.6,21,313,6,1.459,0.625,23.01,Compact/Small,Premium Gasoline
JAGUAR,XKR-S COUPE,MINICOMPACT,5.0,8,AS,Z,15.6,10.9,13.4,21,308,6,1.431,0.625,22.99,Compact/Small,Premium Gasoline
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4,A,X,10.9,7.7,9.5,30,218,9,1.416,0.6,22.95,SUV,Regular Gasoline
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4,A,E,15.2,10.2,12.9,22,206,9,1.49,0.6,15.97,SUV,Ethanol (E85)
JEEP,CHEROKEE,SUV - SMALL,3.2,6,A,X,11.4,8.1,9.9,29,228,9,1.407,0.533,23.03,SUV,Regular Gasoline
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4,A,X,11.3,8.3,10.0,28,230,9,1.361,0.6,23.0,SUV,Regular Gasoline
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4,A,E,15.9,11.0,13.7,21,219,9,1.445,0.6,15.99,SUV,Ethanol (E85)
JEEP,CHEROKEE 4X4,SUV - SMALL,3.2,6,A,X,11.6,8.5,10.2,28,235,9,1.365,0.533,23.04,SUV,Regular Gasoline
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A,X,12.6,8.9,10.9,26,251,9,1.416,0.533,23.03,SUV,Regular Gasoline
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6,A,X,12.2,9.0,10.8,26,248,9,1.356,0.533,22.96,SUV,Regular Gasoline
JEEP,COMPASS,SUV - SMALL,2.0,4,M,X,10.2,7.8,9.2,31,212,5,1.308,0.5,23.04,SUV,Regular Gasoline
JEEP,COMPASS,SUV - SMALL,2.4,4,A,X,11.2,8.6,10.0,28,230,6,1.302,0.6,23.0,SUV,Regular Gasoline
JEEP,COMPASS,SUV - SMALL,2.4,4,M,X,10.2,8.2,9.3,30,214,5,1.244,0.6,23.01,SUV,Regular Gasoline
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,M,X,10.6,8.6,9.7,29,223,5,1.233,0.6,22.99,SUV,Regular Gasoline
JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A,X,17.3,11.5,14.7,19,338,8,1.504,0.712,22.99,SUV,Regular Gasoline
JEEP,PATRIOT,SUV - SMALL,2.0,4,M,X,10.2,7.8,9.2,31,212,5,1.308,0.5,23.04,SUV,Regular Gasoline
JEEP,PATRIOT,SUV - SMALL,2.4,4,A,X,11.2,8.6,10.0,28,230,6,1.302,0.6,23.0,SUV,Regular Gasoline
JEEP,PATRIOT,SUV - SMALL,2.4,4,M,X,10.2,8.2,9.3,30,214,5,1.244,0.6,23.01,SUV,Regular Gasoline
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M,X,10.6,8.6,9.7,29,223,5,1.233,0.6,22.99,SUV,Regular Gasoline
JEEP,RENEGADE,SUV - SMALL,1.4,4,M,X,9.9,7.5,8.8,32,202,6,1.32,0.35,22.95,SUV,Regular Gasoline
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A,X,10.8,7.7,9.4,30,216,9,1.403,0.6,22.98,SUV,Regular Gasoline
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A,E,14.2,9.9,12.2,23,195,9,1.434,0.6,15.98,SUV,Ethanol (E85)
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4,M,X,9.9,7.5,8.8,32,202,6,1.32,0.35,22.95,SUV,Regular Gasoline
JEEP,RENEGADE 4X4,SUV - SMALL,2.4,4,A,X,11.2,8.0,9.8,29,225,9,1.4,0.6,22.96,SUV,Regular Gasoline
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A,X,14.1,11.1,12.8,22,294,5,1.27,0.6,22.97,SUV,Regular Gasoline
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M,X,14.2,11.0,12.8,22,294,6,1.291,0.6,22.97,SUV,Regular Gasoline
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A,X,14.8,11.7,13.4,21,308,5,1.265,0.6,22.99,SUV,Regular Gasoline
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M,X,15.0,11.4,13.4,21,308,6,1.316,0.6,22.99,SUV,Regular Gasoline
KIA,CADENZA,FULL-SIZE,3.3,6,AS,X,12.7,8.4,10.7,26,246,6,1.512,0.55,22.99,Mid-size,Regular Gasoline
KIA,FORTE,MID-SIZE,1.8,4,AS,X,8.8,6.1,7.6,37,175,6,1.443,0.45,23.03,Mid-size,Regular Gasoline
KIA,FORTE,MID-SIZE,1.8,4,M,X,9.3,6.3,7.9,36,182,6,1.476,0.45,23.04,Mid-size,Regular Gasoline
KIA,FORTE,MID-SIZE,2.0,4,AS,X,9.7,6.7,8.3,34,191,6,1.448,0.5,23.01,Mid-size,Regular Gasoline
KIA,FORTE,MID-SIZE,2.0,4,M,X,9.8,6.9,8.5,33,196,6,1.42,0.5,23.06,Mid-size,Regular Gasoline
KIA,FORTE 5,FULL-SIZE,1.6,4,AS,X,11.1,8.0,9.7,29,223,6,1.388,0.4,22.99,Mid-size,Regular Gasoline
KIA,FORTE 5,FULL-SIZE,2.0,4,AS,X,9.5,7.2,8.5,33,196,6,1.319,0.5,23.06,Mid-size,Regular Gasoline
KIA,FORTE 5,FULL-SIZE,2.0,4,M,X,9.7,6.9,8.4,34,193,6,1.406,0.5,22.98,Mid-size,Regular Gasoline
KIA,FORTE KOUP,COMPACT,1.6,4,AS,X,10.6,7.8,9.4,30,216,6,1.359,0.4,22.98,Compact/Small,Regular Gasoline
KIA,FORTE KOUP,COMPACT,2.0,4,AS,X,9.7,7.1,8.6,33,198,6,1.366,0.5,23.02,Compact/Small,Regular Gasoline
KIA,FORTE KOUP,COMPACT,2.0,4,M,X,10.0,7.4,8.8,32,202,6,1.351,0.5,22.95,Compact/Small,Regular Gasoline
KIA,K900,FULL-SIZE,3.8,6,AS,X,13.3,8.9,11.3,25,260,8,1.494,0.633,23.01,Mid-size,Regular Gasoline
KIA,K900,FULL-SIZE,5.0,8,AS,Z,15.7,10.3,13.3,21,306,8,1.524,0.625,23.01,Mid-size,Premium Gasoline
KIA,OPTIMA,MID-SIZE,2.0,4,AS,X,11.7,7.7,9.9,29,228,6,1.519,0.5,23.03,Mid-size,Regular Gasoline
KIA,OPTIMA,MID-SIZE,2.4,4,AS,X,10.2,6.9,8.7,32,200,6,1.478,0.6,22.99,Mid-size,Regular Gasoline
KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS,X,6.6,5.9,6.3,45,145,6,1.119,0.6,23.02,Mid-size,Regular Gasoline
